Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,0963-7214 ,Sage,,https://www.psychologicalscience.org/publications/aps-editorial-policies,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Culture & Psychology,1354-067X,Sage,,https://journals.sagepub.com/author-instructions/CAP,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Crisis: The Journal of Crisis Intervention and Suicide Prevention,0227-5910,Hogrefe,,https://us.hogrefe.com/fileadmin/user_upload/global/journals/Hogrefe_Publishing/Crisis/cri_author_instructions_extended_CURRENT.pdf,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,3,3
Creativity Research Journal,1040-0419,Taylor & Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=hcrj20,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance.",0,"""This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns.

Authors are encouraged to deposit the dataset(s) in a recognized data repository that can mint a persistent digital identifier, preferably a digital object identifier (DOI) and recognizes a long-term preservation plan. If you are uncertain about where to deposit your data, please see this information regarding repositories.

Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Encouraged, not required.",0,,0,,1,"Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis.

To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.",0,"""In order to be published in a Taylor & Francis journal, all clinical trials must have been registered in a public repository at the beginning of the research process (prior to patient enrolment). Trial registration numbers should be included in the abstract, with full details in the methods section. The registry should be publicly accessible (at no charge), open to all prospective registrants, and managed by a not-for-profit organization. For a list of registries that meet these requirements, please visit the WHO International Clinical Trials Registry Platform (ICTRP). The registration of all clinical trials facilitates the sharing of information among clinicians, researchers, and patients, enhances public confidence in research, and is in accordance with the ICMJE guidelines."" Clinical trials only.",0,,0,,0,,0,1,1
Contemporary Psychoanalysis,0010-7530,Taylor & Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=uucp20,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" No guidance.",0,"""This journal applies the Taylor & Francis Basic Data Sharing Policy. Authors are encouraged to share or make open the data supporting the results or analyses presented in their paper where this does not violate the protection of human subjects or other valid privacy or security concerns."" ""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" Data availability statement encouraged, not required.",0,,0,,1,"Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis.

To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.",0,,0,,0,,0,,0,1,1
Consciousness and Cognition,1053-8100,Elsevier,,https://perma.cc/LYF9-4RQG,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,3,"""NEW! Registered reports: (click here for more details). These submissions undergo a two-phase review process in which study rationale and methodology are considered prior to the research being undertaken.""",0,4,4
Computers in Human Behavior,,Elsevier,,https://perma.cc/283N-RQZ6,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article."" Encourages, not requires.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encourages, not requires.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",1,"""The manuscript should be in line with the Recommendations for the Conduct, Reporting, Editing and Publication of Scholarly Work in Medical Journals and aim for the inclusion of representative human populations (sex, age and ethnicity) as per those recommendations. "" ""All animal experiments should comply with the ARRIVE guidelines and should be carried out in accordance with the U.K. Animals (Scientific Procedures) Act, 1986 and associated guidelines, EU Directive 2010/63/EU for animal experiments, or the National Institutes of Health guide for the care and use of Laboratory animals (NIH Publications No. 8023, revised 1978) and the authors should clearly indicate in the manuscript that such guidelines have been followed. "" Should, not must.",0,,0,,0,,0,,0,2,2
Cognitive Systems Research,1389-0417,Elsevier,,https://perma.cc/B9WN-PSAZ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission. "" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Cognitive Psychology,0010-0285,Elsevier,,https://perma.cc/YK7N-FXK8,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles. "" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
COGNITIVE NEUROPSYCHOLOGY,0264-3294 ,Taylor & Francis,,https://perma.cc/7PTD-DL6C ,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" ~ No example or reference list",1,"Data availability statement. If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors.",1,"""To enable full assessment of submissions, you must make available on request to Editors and/or reviewers any custom computer codes, software tools, or algorithms which have been used to generate the results and conclusions that are reported in your manuscript.""",0,"""Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis."" ! encouraged, not required
",1,"Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis.

To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.",0,,0,,0,,0,,0,3,3
Cognitive Development,0885-2014,Elsevier,,https://perma.cc/CFC8-QDE3,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal requires and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we require you to state the availability of your data in your submission if your data is unavailable to access or unsuitable to post. """,0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Cognitive Behaviour Therapy,1650-6073,Taylor & Francis,,https://perma.cc/H3V3-NGQQ,1,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""If there is a data set associated with the paper, plesae provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors."" ""At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s). """,0,,0,,1,,0,"""In order to be published in a Taylor & Francis journal, all clinical trials must have been registered in a public repository at the beginning of the research process (prior to patient enrolment). Trial registration numbers should be included in the abstract, with full details in the methods section."" Clinical trials only.",0,,0,,0,,0,3,3
Cognitive and Behavioral Practice,1077-7229,Elsevier,,https://perma.cc/7C5C-MWP5,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,,0,,0,,1,"""If the paper reports a randomized clinical trial (RCT), this should be indicated in the title, and the CONSORT (Consolidated Standards of Reporting Trials) criteria must be used for reporting purposes."" ""ABCT Journals require the use of the CONSORT reporting standards (e.g., a checklist and flow diagram) for randomized clinical trials, consistent with the policy established by the International Committee of Medical Journal Editors' Uniform Requirements for Medical Journals."" ",0,"""ABCT Journals require the registration of all clinical trials in a public trials registry."" Clinical trials only.",0,,0,,0,,0,2,2
Cognition and Instruction,0737-0008,Taylor & Francis,,https://perma.cc/T2SQ-5U9U,1,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors."" ""At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s).""",0,,0,,1,"""To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.""",0,,0,,0,,0,,0,3,3
COGNITION & EMOTION,0269-9931,Taylor & Francis,,https://perma.cc/ZN9A-RVP7,0,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement."" - no reference list or citation",1,"If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors. - Requires data availability",0,,0,"""Research should be communicated in a way that supports verification and reproducibility, and as such we encourage authors to provide comprehensive descriptions of their research rationale, protocol, methodology, and analysis."" ~ Encouraged, not required",1,"""To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.""",1,"""We support the need for authors to share early versions of their work before peer review publication. There are also a number of options for Taylor & Francis authors to share the final Version of Record of their published article.

If you’ve posted your AOM to a preprint server, we ask that, upon acceptance, you acknowledge that the article has been accepted for publication as follows:

“This article has been accepted for publication in [JOURNAL TITLE], published by Taylor & Francis.”",0,,0,,0,,0,3,3
Cognition,0010-0277,Elsevier,,https://perma.cc/52SN-WNLZ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",2,"""Cognition aims to encourage meta-analysis and to facilitate understanding of the data underlying articles published in the journal. Authors of all published papers will therefore be asked to make their raw data publically available whenever possible."" ""All empirical papers must archive their data upon acceptance in order to be published unless the authors provide a compelling reason why they cannot (e.g., expense, confidentiality).""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,3,3
Clinical Psychology Review,0272-7358,Elsevier,,https://perma.cc/B228-5BX4,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
CLINICAL CHILD PSYCHOLOGY AND PSYCHIATRY,1359-1045 ,Sage,,https://perma.cc/M894-TUKT ,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Clinical Case Studies, 1534-6501,Sage,,https://journals.sagepub.com/author-instructions/CCS,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Child Psychiatry & Human Development,0009-398X,Springer,,https://www.springer.com/journal/10578/submission-guidelines,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
Child Abuse & Neglect,0145-2134,Elsevier,,https://perma.cc/Y7JC-FFWZ,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Child & Youth Care Forum,1053-1890,Springer,,https://www.springer.com/journal/10566/submission-guidelines,1,"Datasets that are assigned digital object identifiers (DOIs) by a data repository may be cited in the reference list. Data citations should include the minimum information recommended by DataCite: authors, title, publisher (repository name), identifier.",1,"All manuscripts must contain the following sections under the heading 'Declarations'.

If any of the sections are not relevant to your manuscript, please include the heading and write 'Not applicable' for that section.

To be used for non-life science journals

Funding (information that explains whether and by whom the research was supported)

Conflicts of interest/Competing interests (include appropriate disclosures)

Availability of data and material (data transparency)",1,"Declarations
All manuscripts must contain the following sections under the heading 'Declarations'.

If any of the sections are not relevant to your manuscript, please include the heading and write 'Not applicable' for that section.

To be used for non-life science journals

Funding (information that explains whether and by whom the research was supported)

Conflicts of interest/Competing interests (include appropriate disclosures)

Availability of data and material (data transparency)

Code availability (software application or custom code)",1,"Declarations
All manuscripts must contain the following sections under the heading 'Declarations'.

If any of the sections are not relevant to your manuscript, please include the heading and write 'Not applicable' for that section.

To be used for non-life science journals

Funding (information that explains whether and by whom the research was supported)

Conflicts of interest/Competing interests (include appropriate disclosures)

Availability of data and material (data transparency)",1,"Standards of reporting
Springer Nature advocates complete and transparent reporting of biomedical and biological research and research with biological applications. Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript.

Exact requirements may vary depending on the journal; please refer to the journal’s Instructions for Authors.

Checklists are available for a number of study designs, including:

Randomised trials (CONSORT) and Study protocols (SPIRIT)

Observational studies (STROBE)

Systematic reviews and meta-analyses (PRISMA) and protocols (Prisma-P)

Diagnostic/prognostic studies (STARD) and (TRIPOD)

Case reports (CARE)

Clinical practice guidelines (AGREE) and (RIGHT)

Qualitative research (SRQR) and (COREQ)

Animal pre-clinical studies (ARRIVE)

Quality improvement studies (SQUIRE)

Economic evaluations (CHEERS)",0,,0,,0,,0,,0,5,5
Child & Family Behavior Therapy,0731-7107,Taylor & Francis,,https://perma.cc/MBM7-9KZ7,0,,0,,0,,0,,1,"""To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.""",0,"""In order to be published in a Taylor & Francis journal, all clinical trials must have been registered in a public repository at the beginning of the research process (prior to patient enrolment). Trial registration numbers should be included in the abstract, with full details in the methods section. "" Clinical trials only.",0,,0,,0,,0,1,1
CAREER DEVELOPMENT INTERNATIONAL,,Emerald,,https://perma.cc/Z5QG-EY7W,1,"We are a signatory of the Transparency and Openness Promotion (TOP) Guidelines, a framework that supports the reproducibility of research through the adoption of transparent research practices. That means we encourage you to:

    Cite and fully reference all data, program code, and other methods in your article.
    Include persistent identifiers, such as a Digital Object Identifier (DOI), in references for datasets and program codes. Persistent identifiers ensure future access to unique published digital objects, such as a piece of text or datasets. Persistent identifiers are assigned to datasets by digital archives, such as institutional repositories and partners in the Data Preservation Alliance for the Social Sciences (Data-PASS).
    Follow appropriate international and national procedures with respect to data protection, rights to privacy and other ethical considerations, whenever you cite data. For further guidance please refer to our research and publishing ethics guidelines. For an example on how to cite datasets, please refer to the references section below.

...

Surname, initials (year), title of dataset, name of data repository, available at: persistent URL, (accessed date month year).

e.g. Campbell, A. and Kahn, R.L. (2015), American National Election Study, 1948, ICPSR07218-v4, Inter-university Consortium for Political and Social Research (distributor), Ann Arbor, MI, available at: https://doi.org/10.3886/ICPSR07218.v4 (accessed 20 June 2018)",0,"We are a signatory of the Transparency and Openness Promotion (TOP) Guidelines, a framework that supports the reproducibility of research through the adoption of transparent research practices. That means we encourage you to:

    Cite and fully reference all data, program code, and other methods in your article.",0,"We are a signatory of the Transparency and Openness Promotion (TOP) Guidelines, a framework that supports the reproducibility of research through the adoption of transparent research practices. That means we encourage you to:

    Cite and fully reference all data, program code, and other methods in your article.",0,"We are a signatory of the Transparency and Openness Promotion (TOP) Guidelines, a framework that supports the reproducibility of research through the adoption of transparent research practices. That means we encourage you to:

    Cite and fully reference all data, program code, and other methods in your article.",0,,0,"We can only accept submissions featuring clinical trials if the following applies:

    The trial is registered in a publicly-accessible database. This must have been done prior to the start of the trial or enrolment of the participants. Examples of publicly-accessible databases include these sites by the National Institutes of Health and the World Health Organization. When submitting your work to Emerald, please include the name of your trial register and your clinical trial registration number.",0,,0,,0,,0,1,1
Cancer Causes & Control,0957-5243,Springer,,https://www.springer.com/journal/10552/submission-guidelines,0,,1,"""All manuscripts must contain the following sections under the heading 'Declarations'. Availability of data and material (data transparency)""",1,"""All manuscripts must contain the following sections under the heading 'Declarations'. Code availability (software application or custom code)""",1,"""All manuscripts must contain the following sections under the heading 'Declarations'. Availability of data and material (data transparency)""",1,"""Systematic reviews are expected to use and refer to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) where possible. 

Springer Nature advocates complete and transparent reporting of biomedical and biological research and research with biological applications. Authors are recommended to adhere to the minimum reporting guidelines hosted by the EQUATOR Network when preparing their manuscript."" Weakly stated requirement for PRISMA, recommended for others.",0,"""To ensure the integrity of the reporting of patient-centered trials, authors must register prospective clinical trials (phase II to IV trials) in suitable publicly available repositories. For example www.clinicaltrials.gov or any of the primary registries that participate in the WHO International Clinical Trials Registry Platform.

The trial registration number (TRN) and date of registration should be included as the last line of the manuscript abstract.

For clinical trials that have not been registered prospectively, authors are encouraged to register retrospectively to ensure the complete publication of all results. The trial registration number (TRN), date of registration and the words 'retrospectively registered’ should be included as the last line of the manuscript abstract.

Purely observational trials will not require registration."" Required for clinical trials only, explicitly not required for observational studies.",0,,0,,0,,0,4,4
CANADIAN JOURNAL OF SCHOOL PSYCHOLOGY, 0829-5735 ,Sage,,https://journals.sagepub.com/author-instructions/CJS,0,,0,,0,,0,,0,,0,,0,,0,,3,"Manuscripts published in CJSP fall into six categories: Brief Reports, Original Articles, Literature Review and Meta-Analyses, Book and Test Reviews, Special Issues, and Registered Reports. ",0,3,3
Bulletin of the Menninger Clinic,,Guilford,,https://perma.cc/TAR6-MN7R,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0
British Journal of Music Education,0265-0517,Cambridge University Press,,https://perma.cc/5FQY-LFLU,0,,0," Where appropriate and where allowed by employer, funding body or others who might have an interest, we encourage authors to:
• deposit data in a suitable repository or storage location, for sharing and further use by others; and
• describe where the data may be found in a Data Availability Statement which authors should include in their publication.",0,"We support transparency and openness around data, code, and other materials associated with research",0,"We support transparency and openness around data, code, and other materials associated with research",0,,0,,0,,0,,0,,0,0,0
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,,Wiley,,https://perma.cc/A9JQ-DQP8,0,,2,"Data Sharing and Data Accessibility

The British Journal of Mathematical and Statistical Psychology recognizes the many benefits of archiving data for scientific progress. Archived data provides an indispensable resource for the scientific community, making possible future replications and secondary analyses, in addition to the importance of verifying the dependability of published research findings.

The journal expects that where possible all data supporting the results in papers published are archived in an appropriate public archive offering open access and guaranteed preservation. The archived data must allow each result in the published paper to be recreated and the analyses reported in the paper to be replicated in full to support the conclusions made.  Authors are welcome to archive more than this, but not less.

All papers need to be supported by a data archiving statement and the data set must be cited in the Methods section. The paper must include a link to the repository in order that the statement can be published.

It is not necessary to make data publicly available at the point of submission, but an active link must be included in the final accepted manuscript. For authors who have pre-registered studies, please use the Registered Report link in the Author Guidelines.

In some cases, despite the authors’ best efforts, some or all data or materials cannot be shared for legal or ethical reasons, including issues of author consent, third party rights, institutional or national regulations or laws, or the nature of data gathered. In such cases, authors must inform the editors at the time of submission. It is understood that in some cases access will be provided under restrictions to protect confidential or proprietary information. Editors may grant exceptions to data access requirements provided authors explain the restrictions on the data set and how they preclude public access, and, if possible, describe the steps others should follow to gain access to the data.

If the authors cannot or do not intend to make the data publicly available, a statement to this effect, along with the reasons that the data is not shared, must be included in the manuscript.",0,"Supporting Information

Supporting Information can be a useful way for an author to include important but ancillary information with the online version of an article. Examples of Supporting Information include software code, additional tables, data sets, figures, movie files, audio clips, and other related nonessential multimedia files. Software code/syntax for widely available or open source software that enables researchers to use new procedures is particularly welcome and is likely to enhance the impact of your paper. 

...

Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",0,"Supporting Information

Supporting Information can be a useful way for an author to include important but ancillary information with the online version of an article. Examples of Supporting Information include software code, additional tables, data sets, figures, movie files, audio clips, and other related nonessential multimedia files. Software code/syntax for widely available or open source software that enables researchers to use new procedures is particularly welcome and is likely to enhance the impact of your paper. 

...

Note: if data, scripts, or other artefacts used to generate the analyses presented in the paper are available via a publicly available data repository, authors should include a reference to the location of the material within their paper.",1,"Research Reporting Guidelines

We encourage authors to refer to and follow guidelines from:

    Future of Research Communications and e-Scholarship (FORCE11)
    The Gold Standard Publication Checklist from Hooijmans and colleagues
    FAIRsharing website
",0,All systematic reviews must be pre-registered.,0,,0,,3,"The British Journal of Mathematical and Statistical Psychology publishes articles, review articles, expert tutorials and Registered Reports.",0,6,6
British Journal of Guidance & Counselling,0306-9885,Taylor & Francis,,https://perma.cc/845R-GQP9,1,"""Authors are further encouraged to cite any data sets referenced in the article and provide a Data Availability Statement.""",1,"""If there is a data set associated with the paper, please provide information about where the data supporting the results or analyses presented in the paper can be found. Where applicable, this should include the hyperlink, DOI or other persistent identifier associated with the data set(s). Templates are also available to support authors."" ""At the point of submission, you will be asked if there is a data set associated with the paper. If you reply yes, you will be asked to provide the DOI, pre-registered DOI, hyperlink, or other persistent identifier associated with the data set(s).""",0,,0,,1,"""To aid authors in this, a number of study-design specific consensus-based reporting guidelines have been developed, and we recommend you to use these as guidance prior to submitting your manuscript.

A comprehensive list of reporting guidelines for medicine and health research can be accessed via the EQUATOR network website, and for biosciences research via the MIBBI Foundry portal.""",0,"""In order to be published in a Taylor & Francis journal, all clinical trials must have been registered in a public repository at the beginning of the research process (prior to patient enrolment). Trial registration numbers should be included in the abstract, with full details in the methods section."" Clinical trials only.",0,,0,,0,,0,3,3
Brain and Language,0093-934X,Elsevier,,https://perma.cc/BP2Q-L527,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your reference list. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article.""",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,0,,0,1,1
Brain and Cognition,0278-2626,Elsevier,,https://perma.cc/PM3M-XG6A,1,"""This journal encourages you to cite underlying or relevant datasets in your manuscript by citing them in your text and including a data reference in your Reference List. Data references should include the following elements: author name(s), dataset title, data repository, version (where available), year, and global persistent identifier. Add [dataset] immediately before the reference so we can properly identify it as a data reference. The [dataset] identifier will not appear in your published article."" ""To foster transparency, we encourage you to state the availability of your data in your submission."" Encouraged, not required.",0,"""This journal encourages and enables you to share data that supports your research publication where appropriate, and enables you to interlink the data with your published articles."" Encouraged.",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,"""To facilitate reproducibility and data reuse, this journal also encourages you to share your software, code, models, algorithms, protocols, methods and other useful materials related to the project.""",0,,0,,0,,0,,3,,0,4,4
